cpu,ram,swap,disk
4.8,68.6,65.2,69.0
4.3,68.6,65.2,69.0
1.9,68.6,65.2,69.0
5.5,68.6,65.2,69.0
3.8,68.6,65.2,69.0
4.3,68.6,65.2,69.0
3.1,68.6,65.2,69.0
6.2,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
6.2,68.6,65.2,69.0
2.5,68.6,65.2,69.0
4.9,68.6,65.2,69.0
4.9,68.6,65.2,69.0
3.8,68.6,65.2,69.0
5.0,68.6,65.2,69.0
6.7,68.6,65.2,69.0
5.0,68.6,65.2,69.0
5.6,68.5,65.2,69.0
4.3,68.5,65.2,69.0
3.7,68.5,65.2,69.0
4.3,68.5,65.2,69.0
1.9,68.5,65.2,69.0
6.8,68.5,65.2,69.0
3.7,68.5,65.2,69.0
4.3,68.5,65.2,69.0
5.6,68.5,65.2,69.0
3.7,68.5,65.2,69.0
6.8,68.5,65.2,69.0
0.0,68.5,65.2,69.0
6.0,68.5,65.2,69.0
7.4,68.4,65.2,69.0
9.9,68.5,65.2,69.0
6.9,68.5,65.2,69.0
4.3,68.5,65.2,69.0
5.0,68.5,65.2,69.0
7.4,68.3,65.2,69.0
5.6,68.3,65.2,69.0
0.0,68.3,65.2,69.0
0.0,68.3,65.2,69.0
4.1,68.3,65.2,69.0
5.6,68.3,65.2,69.0
3.8,68.3,65.2,69.0
4.9,68.3,65.2,69.0
3.7,68.3,65.2,69.0
5.6,68.3,65.2,69.0
4.3,68.3,65.2,69.0
3.8,68.3,65.2,69.0
3.7,68.3,65.2,69.0
4.3,68.3,65.2,69.0
4.4,68.3,65.2,69.0
4.3,68.3,65.2,69.0
7.4,68.3,65.2,69.0
8.1,68.3,65.2,69.0
5.6,68.3,65.2,69.0
4.4,68.3,65.2,69.0
4.4,68.3,65.2,69.0
3.8,68.3,65.2,69.0
7.5,68.3,65.2,69.0
3.8,68.3,65.2,69.0
5.5,68.3,65.2,69.0
4.3,68.3,65.2,69.0
5.5,68.3,65.2,69.0
8.7,68.3,65.2,69.0
3.1,68.3,65.2,69.0
5.0,68.3,65.2,69.0
4.3,68.3,65.2,69.0
3.7,68.3,65.2,69.0
5.1,68.3,65.2,69.0
0.0,68.3,65.2,69.0
4.7,68.3,65.2,69.0
3.7,68.3,65.2,69.0
6.2,68.3,65.2,69.0
8.0,68.3,65.2,69.0
5.0,68.3,65.2,69.0
12.0,68.3,65.2,69.0
5.7,68.3,65.2,69.0
7.5,68.3,65.2,69.0
7.4,68.3,65.2,69.0
5.0,68.3,65.2,69.0
2.5,68.3,65.2,69.0
3.8,68.3,65.2,69.0
3.7,68.3,65.2,69.0
0.0,68.3,65.2,69.0
0.0,68.3,65.2,69.0
6.0,68.3,65.2,69.0
5.6,68.5,65.2,69.0
6.9,68.5,65.2,69.0
4.3,68.5,65.2,69.0
0.0,68.5,65.2,69.0
5.6,68.5,65.2,69.0
6.3,68.4,65.2,69.0
0.0,68.4,65.2,69.0
0.0,68.4,65.2,69.0
0.0,68.4,65.2,69.0
4.9,68.4,65.2,69.0
4.4,68.4,65.2,69.0
3.7,68.4,65.2,69.0
5.0,68.4,65.2,69.0
4.3,68.4,65.2,69.0
4.4,68.4,65.2,69.0
7.4,68.4,65.2,69.0
5.6,68.4,65.2,69.0
4.9,68.4,65.2,69.0
4.9,68.4,65.2,69.0
5.5,68.4,65.2,69.0
1.9,68.4,65.2,69.0
13.6,68.4,65.2,69.0
15.5,68.4,65.2,69.0
0.0,68.4,65.2,69.0
4.6,68.4,65.2,69.0
3.1,68.4,65.2,69.0
4.3,68.4,65.2,69.0
5.0,68.4,65.2,69.0
3.1,68.4,65.2,69.0
5.6,68.4,65.2,69.0
3.7,68.4,65.2,69.0
4.3,68.4,65.2,69.0
5.6,68.4,65.2,69.0
6.8,68.4,65.2,69.0
6.3,68.4,65.2,69.0
8.6,68.5,65.2,69.0
5.6,68.5,65.2,69.0
0.0,68.8,65.2,69.0
0.0,68.8,65.2,69.0
11.4,68.8,65.2,69.0
8.0,68.8,65.2,69.0
6.3,68.6,65.2,69.0
13.1,69.0,65.2,69.0
25.5,69.0,64.2,69.0
21.1,69.0,64.2,69.0
24.5,69.2,64.2,69.0
32.7,69.3,64.2,69.0
0.0,69.2,64.2,69.0
0.0,69.2,64.2,69.0
13.3,69.2,64.2,69.0
26.8,69.2,64.2,69.0
10.4,69.3,64.2,69.0
9.2,69.3,64.2,69.0
18.0,69.3,64.2,69.0
38.0,69.3,64.2,69.0
37.7,69.2,64.2,69.0
16.8,69.2,64.2,69.0
56.4,69.2,64.2,69.0
22.8,69.4,64.2,69.0
23.6,69.4,64.2,69.0
49.7,69.4,64.2,69.0
20.4,69.4,64.2,69.0
36.6,69.4,64.2,69.0
13.9,69.4,64.2,69.0
13.3,69.4,64.2,69.0
7.3,69.3,64.2,69.0
7.5,69.3,64.2,69.0
12.6,68.9,64.2,69.0
8.0,68.9,64.2,69.0
3.7,68.9,64.2,69.0
4.9,68.9,64.2,69.0
5.0,68.9,64.2,69.0
20.7,69.0,64.2,69.0
9.3,69.0,64.2,69.0
53.4,69.0,64.2,69.0
8.1,69.4,64.2,69.0
42.3,69.4,64.2,69.0
14.8,69.4,64.2,69.0
3.7,69.4,64.2,69.0
6.8,69.4,64.2,69.0
6.7,69.2,64.2,69.0
4.4,69.2,64.2,69.0
4.3,69.0,64.2,69.0
5.6,69.0,64.2,69.0
42.1,69.1,64.2,69.0
28.8,68.9,64.2,69.0
5.6,68.9,64.2,69.0
5.6,68.8,64.2,69.0
5.5,68.8,64.2,69.0
3.8,68.8,64.2,69.0
8.1,68.8,64.2,69.0
6.8,68.8,64.2,69.0
7.5,68.8,64.2,69.0
15.6,68.8,64.2,69.0
6.3,68.8,64.2,69.0
6.1,68.7,64.2,69.0
5.0,68.7,64.2,69.0
3.8,68.7,64.2,69.0
4.3,68.7,64.2,69.0
4.4,68.7,64.2,69.0
9.8,68.7,64.2,69.0
5.7,68.7,64.2,69.0
3.1,68.7,64.2,69.0
8.1,68.7,64.2,69.0
4.4,68.7,64.2,69.0
6.5,68.7,64.2,69.0
0.0,68.7,64.2,69.0
0.0,68.7,64.2,69.0
0.0,68.7,64.2,69.0
6.2,68.7,64.2,69.0
8.8,68.6,64.2,69.0
12.5,68.6,64.2,69.0
12.5,68.6,64.2,69.0
15.1,68.6,64.2,69.0
9.4,68.6,64.2,69.0
16.1,69.0,64.2,69.0
5.0,69.0,64.2,69.0
5.5,69.0,64.2,69.0
6.3,69.0,64.2,69.0
5.0,69.0,64.2,69.0
5.6,69.0,64.2,69.0
6.8,69.0,64.2,69.0
6.2,69.0,64.2,69.0
18.9,69.0,64.2,69.0
37.3,69.0,64.2,69.0
29.4,69.0,64.2,69.0
6.7,69.0,64.2,69.0
23.1,69.0,64.2,69.0
37.4,69.0,64.2,69.0
30.5,69.0,64.2,69.0
28.1,69.0,64.2,69.0
31.3,69.1,64.2,69.0
25.8,69.1,64.2,69.0
4.3,69.1,64.2,69.0
58.7,69.1,64.2,69.0
29.9,69.1,64.2,69.0
39.4,69.1,64.2,69.0
20.7,68.9,64.2,69.0
6.2,68.9,64.2,69.0
11.1,68.9,64.2,69.0
12.3,69.1,64.2,69.0
18.1,69.1,64.2,69.0
0.0,69.1,64.2,69.0
0.0,69.1,64.2,69.0
28.7,69.1,64.2,69.0
10.6,69.1,64.2,69.0
7.5,69.1,64.2,69.0
3.1,69.1,64.2,69.0
5.6,69.1,64.2,69.0
6.8,69.1,64.2,69.0
8.1,68.5,64.2,69.0
5.0,68.5,64.2,69.0
13.1,68.5,64.2,69.0
32.7,68.5,64.2,69.0
46.5,68.5,64.2,69.0
28.1,69.0,64.2,69.0
30.2,69.1,64.2,69.0
38.9,69.1,64.2,69.0
29.0,69.0,64.2,69.0
32.9,69.0,64.2,69.0
24.4,69.0,64.2,69.0
0.0,69.0,64.2,69.0
0.0,69.0,64.2,69.0
0.0,69.0,64.2,69.0
18.2,69.0,64.2,69.0
32.3,69.0,64.2,69.0
0.0,69.0,64.2,69.0
0.0,68.7,64.2,69.0
0.0,68.7,64.2,69.0
10.2,68.7,64.2,69.0
11.1,68.5,64.2,69.0
6.2,68.5,64.2,69.0
5.6,68.5,64.2,69.0
8.8,68.5,64.2,69.0
19.0,68.5,64.2,69.0
11.7,68.5,64.2,69.0
22.2,68.6,64.2,69.0
13.0,68.5,64.2,69.0
16.0,68.5,64.2,69.0
16.3,68.5,64.2,69.0
20.9,68.6,64.2,69.0
11.9,68.5,64.2,69.0
19.9,68.5,64.2,69.0
0.0,68.5,64.2,69.0
19.7,68.5,64.2,69.0
13.7,68.5,64.2,69.0
13.9,68.5,64.2,69.0
21.6,68.5,64.2,69.0
16.8,68.5,64.2,69.0
13.3,68.5,64.2,69.0
20.9,68.6,64.2,69.0
14.3,68.5,64.2,69.0
21.1,68.5,64.2,69.0
15.7,68.5,64.2,69.0
14.6,68.5,64.2,69.0
19.1,68.6,64.2,69.0
12.4,68.5,64.2,69.0
20.6,68.5,64.2,69.0
17.8,68.5,64.2,69.0
15.4,68.5,64.2,69.0
22.0,68.6,64.2,69.0
21.7,68.6,64.2,69.0
12.7,68.6,64.2,69.0
20.4,68.6,64.2,69.0
16.4,68.6,64.2,69.0
13.3,68.5,64.2,69.0
5.5,68.5,64.2,69.0
5.0,68.5,64.2,69.0
4.3,68.5,64.2,69.0
6.3,68.5,64.2,69.0
3.7,68.5,64.2,69.0
0.0,68.5,64.2,69.0
0.0,68.5,64.2,69.0
0.0,68.5,64.2,69.0
5.7,68.5,64.2,69.0
8.8,68.5,64.2,69.0
0.0,68.5,64.2,69.0
0.0,68.5,64.2,69.0
0.0,68.5,64.2,69.0
8.2,68.5,64.2,69.0
